,Document_starts,Text,Gold_BSC_seq_integrateIF,Gold_IBCC
0,1,There,1,1
1,0,are,1,1
2,0,people,1,1
3,0,who,1,1
4,0,think,1,1
5,0,it,1,1
6,0,should,1,1
7,0,be,1,1
8,0,legal,1,1
9,0,",",1,1
10,0,and,1,1
11,0,the,2,2
12,0,government,0,0
13,0,telling,0,0
14,0,them,0,0
15,0,what,0,0
16,0,they,0,0
17,0,may,0,0
18,0,and,0,0
19,0,may,0,0
20,0,not,0,0
21,0,consume,0,0
22,0,at,0,0
23,0,home,0,0
24,0,is,0,0
25,0,an,0,0
26,0,invasion,0,0
27,0,of,0,0
28,0,personal,0,0
29,0,privacy,0,0
30,0,.,1,1
31,0,.,1,1
32,0,.,1,1
33,1,Officials,1,1
34,0,say,1,1
35,0,the,1,1
36,0,uniforms,2,2
37,0,are,0,0
38,0,expected,0,0
39,0,to,0,0
40,0,build,0,0
41,0,school,0,0
42,0,identity,0,0
43,0,",",0,0
44,0,help,0,0
45,0,improve,0,0
46,0,student,0,0
47,0,self,0,0
48,0,-,0,0
49,0,esteem,0,0
50,0,and,0,0
51,0,academic,0,0
52,0,performance,0,0
53,0,and,0,0
54,0,eliminate,0,0
55,0,pressures,0,0
56,0,of,0,0
57,0,competition,0,0
58,0,among,0,0
59,0,students,0,0
60,0,over,0,0
61,0,how,0,0
62,0,they,0,0
63,0,dress,1,0
64,0,.,1,1
65,1,This,1,1
66,0,might,1,1
67,0,be,1,1
68,0,offset,1,1
69,0,by,1,1
70,0,fewer,1,1
71,0,government,1,1
72,0,benefits,1,1
73,0,paid,1,1
74,0,",",1,1
75,0,as,1,1
76,0,some,2,2
77,0,workers,0,0
78,0,with,0,0
79,0,higher,0,0
80,0,incomes,0,0
81,0,would,0,0
82,0,receive,0,0
83,0,fewer,0,0
84,0,government,0,0
85,0,transfer,0,0
86,0,payments,0,0
87,0,.,1,1
88,1,A,1,1
89,0,The,1,1
90,0,positives,1,1
91,0,are,1,1
92,0,the,1,1
93,0,students,1,1
94,0,in,1,1
95,0,our,1,1
96,0,community,1,1
97,0,come,1,1
98,0,from,1,1
99,0,a,1,1
100,0,disadvantaged,1,1
101,0,background,1,1
102,0,",",1,1
103,0,and,1,1
104,0,the,1,1
105,0,are,1,1
106,0,small,1,1
107,0,pockets,1,1
108,0,of,1,1
109,0,students,1,1
110,0,that,1,1
111,0,come,1,1
112,0,from,1,1
113,0,a,1,1
114,0,wealthier,1,1
115,0,background,1,1
116,0,",",1,1
117,0,so,1,1
118,0,the,2,2
119,0,uniform,0,0
120,0,creates,0,0
121,0,equality,0,0
122,0,.,1,1
123,1,The,3,3
124,0,commercial,4,4
125,0,interest,4,4
126,0,is,4,4
127,0,in,4,4
128,0,maximizing,4,4
129,0,revenues,4,4
130,0,and,4,4
131,0,profit,4,4
132,0,",",4,4
133,0,which,4,4
134,0,means,4,4
135,0,creating,4,4
136,0,and,4,4
137,0,serving,4,4
138,0,a,4,4
139,0,market,4,4
140,0,of,4,4
141,0,people,4,4
142,0,with,4,4
143,0,substance,4,4
144,0,abuse,4,4
145,0,problems,4,4
146,0,.,1,1
147,1,This,1,1
148,0,enables,1,1
