id	value	task	text	hypothesis
754	TRUE	CD	Mexico City has a very bad pollution problem because the mountains around the city act as walls and block in dust and smog.	Poor air circulation out of the mountain-walled Mexico City aggravates pollution.
822	TRUE	CD	Satomi Mitarai died of blood loss.	Satomi Mitarai bled to death.
692	TRUE	CD	The national insurrection of 1794, led by Tadeusz Kosciuszko against the Russo-Prussian second partition, was brutally crushed; the ensuing third partition of Poland among Russia, Prussia, and Austria left Warsaw a provincial town of South Prussia.	Warsaw became a town in Prussia.
731	FALSE	CD	The city Tenochtitlan grew rapidly and was the center of the Aztec&apos;s great empire.	Tenochtitlan quickly spread over the island, marshes, and swamps.
1865	FALSE	CD	Militant groups in Iraq have waged a kidnapping campaign aimed at driving out U.S. supporting companies and troops.	About 70 foreigners have been abducted by militants fighting the U.S.-led occupation and reconstruction efforts in Iraq.
864	TRUE	CD	Massoud Emami, governor of Iran&apos;s northwestern province of Qazvin, and at least 8 others on abroad a helicopter were killed in a crash.	Governor of Iran&apos;s Qazvin province, Massoud Emami, and eight others were killed
704	TRUE	CD	In 1541 the Turks took the Buda and held it until 1686; the city changed very little during this time.	The Turks held Buda between 1541 and 1686.
1376	FALSE	CD	Hyperhidrosis is more common than you think. This condition affects 1 out of 25 people.	Asians have an even higher rate of incidence---1 of every 5 suffers from hyperhidrosis.
755	FALSE	CD	The Alameda Central ( Central Mall ) roughly marks the western edge of the old colonial city.	The Alameda Central is west of the Zocalo.
1808	TRUE	CD	Vanunu converted to Christianity while in prison, and has been living in an anglican cathedral in Jerusalem since his release on April 21.	A convert to Christianity, Vanunu has sequestered himself at a Jerusalem church since he was freed on April 21.
837	TRUE	CD	The Clark County medical examiner&apos;s office said the man who was killed was 33 years old.	The Clark County medical examiner&apos;s office put the dead man&apos;s age at 33.
2144	FALSE	CD	President Nicanor Duarte Frutos asked the private sector to help the state&apos;s overwhelmed public health system.	President Nicanor Duarte called the tragedy &quot;a moment of great anguish&quot; for his country as he visited the scene.
845	TRUE	CD	Israeli Prime Minister Ariel Sharon threatened to dismiss Cabinet ministers who don&apos;t support his plan to withdraw from the Gaza Strip.	Israeli Prime Minister Ariel Sharon threatened to fire cabinet opponents of his Gaza withdrawal plan.
747	TRUE	CD	The city was traditionally inhabited by mestizos ( people of mixed European and Indian descent ) and criollos ( Mexicans of European descent ), but steady immigration from the countryside has given it a more Indian character.	People known as mestizos are of mixed European and Indian descent.
1401	FALSE	CD	Excluding restructuring costs and the associated tax impact, net income for the recent quarter would have been $4 million, Seagate said.	Excluding these items, Seagate would have posted earnings of $462 million, or 93 cents a share.
1383	TRUE	CD	The crew of Apollo 11, Neil Armstrong, Buzz Aldrin and Michael Collins, and other early astronauts were named &quot;Ambassadors of Exploration&quot; in a ceremony at the Smithsonian National Air and Space Museum.	Aldrin was one of the astronauts honored by NASA at the Smithsonian National Air and Space Museum.
